,count,mean,std,min,25%,50%,75%,max
fixed acidity,4408.0,6.858030852994555,0.8463533420111649,3.8,6.3,6.8,7.3,14.2
volatile acidity,4408.0,0.2783189655172414,0.10074539927028008,0.08,0.21,0.26,0.32,1.1
citric acid,4408.0,0.3343489110707804,0.12104803984286995,0.0,0.27,0.32,0.39,1.66
residual sugar,4407.0,6.384876333106422,5.096459357412017,0.6,1.7,5.1,9.9,65.8
chlorides,4408.0,0.04742763157894736,0.12165633513687901,0.012,0.036,0.043,0.05,8.0
free sulfur dioxide,4408.0,35.19101633393829,17.057406272547023,2.0,23.0,34.0,45.0,289.0
total sulfur dioxide,4408.0,138.13384754990926,42.30706290954407,9.0,108.0,134.0,167.0,440.0
density,4408.0,0.9940218466424682,0.002991310724391464,0.98711,0.99174,0.993725,0.9961,1.03898
pH,4408.0,3.1881896551724136,0.15241803657522246,2.72,3.08,3.18,3.28,3.82
sulphates,4408.0,0.48971869328493656,0.11520273580963411,0.22,0.41,0.47,0.55,1.08
alcohol,4408.0,10.532527223230492,1.6174621585431637,8.0,9.5,10.4,11.4,80.0
quality,4408.0,5.877949183303086,0.8861100285335987,3.0,5.0,6.0,6.0,9.0
